,ID,Cellline,Label,Labels_list
0,1000_E11_2,U-251 MG,18,[18]
1,1000_E11_3,U-251 MG,18,[18]
2,1000_E1_1,U-251 MG,2,[2]
3,1000_E1_2,U-251 MG,2,[2]
4,1000_F7_1,U-251 MG,12,[12]
5,1000_F7_2,U-251 MG,12,[12]
6,1000_G4_1,U-251 MG,14,[14]
7,1000_G4_2,U-251 MG,14,[14]
8,1000_H11_1,U-251 MG,18,[18]
9,1000_H11_2,U-251 MG,18,[18]
10,1001_A9_1,U-2 OS,13,[13]
11,1001_A9_2,U-2 OS,13,[13]
12,1001_B10_1,U-2 OS,13,[13]
13,1001_B10_2,U-2 OS,13,[13]
14,1001_B8_1,U-2 OS,6,[6]
15,1001_B8_3,U-2 OS,6,[6]
16,1001_C12_2,U-2 OS,12,[12]
17,1001_C12_3,U-2 OS,12,[12]
18,1001_D5_1,U-2 OS,4,[4]
19,1001_D5_3,U-2 OS,4,[4]
20,1001_E8_1,U-2 OS,7,[7]
21,1001_E8_2,U-2 OS,7,[7]
22,1001_F7_1,U-2 OS,7,[7]
23,1001_F7_2,U-2 OS,7,[7]
24,1001_G11_1,U-2 OS,14,[14]
25,1001_G11_2,U-2 OS,14,[14]
26,1001_G1_2,U-2 OS,5|6,"[5, 6]"
27,1001_G1_3,U-2 OS,5|6,"[5, 6]"
28,1001_G2_1,U-2 OS,7,[7]
29,1001_G2_2,U-2 OS,7,[7]
30,1001_G7_1,U-2 OS,18,[18]
31,1001_G7_2,U-2 OS,18,[18]
32,1001_G9_1,U-2 OS,6,[6]
33,1001_G9_2,U-2 OS,6,[6]
34,1002_B8_1,U-2 OS,9,[9]
35,1002_B8_2,U-2 OS,9,[9]
36,1002_F11_1,U-2 OS,18,[18]
37,1002_F11_2,U-2 OS,18,[18]
38,1002_F6_2,U-2 OS,8|17,"[8, 17]"
39,1002_F6_3,U-2 OS,8|17,"[8, 17]"
40,1002_G1_1,U-2 OS,4,[4]
41,1002_G1_2,U-2 OS,4,[4]
42,1002_G9_1,U-2 OS,9,[9]
43,1002_G9_2,U-2 OS,9,[9]
44,1002_H5_1,U-2 OS,1,[1]
45,1002_H5_2,U-2 OS,1,[1]
46,1003_E11_1,U-2 OS,18,[18]
47,1003_E11_2,U-2 OS,18,[18]
48,1003_E1_1,U-2 OS,2,[2]
49,1003_E1_2,U-2 OS,2,[2]
50,1003_F7_1,U-2 OS,12,[12]
51,1003_F7_2,U-2 OS,12,[12]
52,1003_G4_1,U-2 OS,18,[18]
53,1003_G4_2,U-2 OS,18,[18]
54,1003_H11_1,U-2 OS,2,[2]
55,1003_H11_2,U-2 OS,2,[2]
56,1003_H2_1,U-2 OS,18,[18]
57,1003_H2_2,U-2 OS,18,[18]
58,1004_B8_1,A-431,9,[9]
59,1004_B8_2,A-431,9,[9]
60,1004_F11_1,A-431,18,[18]
61,1004_F11_2,A-431,18,[18]
62,1004_F6_2,A-431,8|17,"[8, 17]"
63,1004_F6_3,A-431,8|17,"[8, 17]"
64,1004_G1_2,A-431,4,[4]
65,1004_G1_3,A-431,4,[4]
66,1004_G9_1,A-431,9|13,"[9, 13]"
67,1004_G9_2,A-431,9|13,"[9, 13]"
68,1004_H5_1,A-431,1,[1]
69,1004_H5_2,A-431,1,[1]
70,1005_B11_1,A-431,2,[2]
71,1005_B11_2,A-431,2,[2]
72,1005_B5_1,A-431,17,[17]
73,1005_B5_2,A-431,17,[17]
74,1005_C1_1,A-431,14,[14]
75,1005_C1_2,A-431,14,[14]
76,1005_C9_3,A-431,13,[13]
77,1005_D11_1,A-431,14,[14]
78,1005_D11_2,A-431,14,[14]
79,1005_E8_3,A-431,17|13,"[17, 13]"
80,1005_E8_4,A-431,17|13,"[17, 13]"
81,1005_F10_1,A-431,18,[18]
82,1005_F10_2,A-431,18,[18]
83,1005_F1_1,A-431,4,[4]
84,1005_F1_2,A-431,4,[4]
85,1005_G2_1,A-431,18,[18]
86,1005_G2_2,A-431,18,[18]
87,1006_A9_2,U-2 OS,14,[14]
88,1006_A9_4,U-2 OS,14,[14]
89,1006_B10_1,U-2 OS,14,[14]
90,1006_B10_2,U-2 OS,14,[14]
91,1006_B6_1,U-2 OS,7,[7]
92,1006_B6_3,U-2 OS,7,[7]
93,1006_C10_2,U-2 OS,17,[17]
94,1006_C10_3,U-2 OS,17,[17]
95,1006_C11_1,U-2 OS,17,[17]
96,1006_C11_3,U-2 OS,17,[17]
97,1006_D6_1,U-2 OS,18,[18]
98,1006_D6_2,U-2 OS,18,[18]
99,1006_D9_1,U-2 OS,18,[18]
100,1006_D9_2,U-2 OS,18,[18]
101,1006_E9_1,U-2 OS,4|13,"[4, 13]"
102,1006_E9_2,U-2 OS,4|13,"[4, 13]"
103,1006_F7_2,U-2 OS,17,[17]
104,1006_F7_4,U-2 OS,17,[17]
105,1006_H4_1,U-2 OS,14,[14]
106,1006_H4_2,U-2 OS,14,[14]
107,1009_B6_2,U-251 MG,17,[17]
108,1009_D6_4,U-251 MG,17,[17]
109,1009_D6_7,U-251 MG,17,[17]
110,1009_E12_1,U-251 MG,14,[14]
111,1009_E12_2,U-251 MG,14,[14]
112,1009_E4_6,U-251 MG,7,[7]
113,1009_E4_7,U-251 MG,7,[7]
114,1009_F4_10,U-251 MG,14,[14]
115,1009_F4_11,U-251 MG,14,[14]
116,1009_F6_1,U-251 MG,14,[14]
117,1009_F6_2,U-251 MG,14,[14]
118,100_A1_1,A-431,14,[14]
